nama_produk,harga,penjual,kota,rating_produk,jml_review
Matte Lip Gloss Lipstik Looke Holy Lip POLISH LUNA Cantik dan Tahan Lama Eye Shadow dan Blush On Natural Original Terlaris,Rp 140.000,amrita shop,Jakarta Pusat,5,28 ulasan
tanaman hias aglonema lipstik,Rp 15.000,Dunia Tanaman,Kab. Bogor,4.7,27 ulasan
FOCALLURE Lipstik Lip Makeup,Rp 50.000,The Beauty Shop,Jakarta Pusat,4.8,24 ulasan
Paket Hemat 2 pcs Wardah Intense Matte Lipstik,Rp 102.000,DS Butiqq,Purwakarta,5,4 ulasan
DOLBY LIPSTIK,Rp 16.500,COSMET4SHOP,Kab. Bekasi,4.9,7 ulasan
Jupon Mini Lipstik,Rp 10.000,DISTRIBUTOR UMIMU BEKASI,Bekasi,5,5 ulasan
WARDAH Lightening Series 1paket+Lipstik Exlusive,Rp 258.000,AgnezCosmetics,Cirebon,4.8,11 ulasan
Purbasari Lipstik Color Matte Original,Rp 32.000,Gudang Kosmetik,Tangerang Selatan,4.3,18 ulasan
Lipstick Lipgloss Hare Hijau / Lipstik Arab ORIGINAL tulisan 33 ( ECERAN ),Rp 4.900,REJEKI STORE,Surabaya,4.9,34 ulasan
Maycreate MA-01 Lipstik Matte Lipstick,Rp 9.900,Luvase 123,Jakarta Barat,5,2 ulasan
Lipstik matte . Wardah Instaperfect Lip Matte paint . Instaperfect Lip Matte,Rp 100.000,joe christian,Serang,4.8,4 ulasan
Wardah Long Lasting Lipstick Longlasting Lipstik,Rp 38.500,ILAMA SHOP,Jakarta Barat,4.6,19 ulasan
lipstik Purbasari matte cream,Rp 60.000,Wahyu,Kab. Bekasi,5,1 ulasan
LIPSTIK WARDAH INTENS MATTE,Rp 39.000,COSMET4SHOP,Kab. Bekasi,4.8,5 ulasan
LIPSTIK HARE LIPSTICK ARAB,Rp 3.600,lipice,Surabaya,4.9,8 ulasan
aglonema lipstik siam aurora,Rp 17.500,cinta tani nursery,Depok,4.8,11 ulasan
PO Lipstik matte SIVANNA COLORS,Rp 100.000,Saras Wagu,Pekalongan,4.7,12 ulasan
Lipstik Purbasari Color Matte No 85,Rp 26.000,BASICON,Surabaya,5,2 ulasan
obral lipstik kylie kourth eceran,Rp 20.000,rfm_shop,Jakarta Timur,5,4 ulasan
Lipstik LT PRO Matte,Rp 78.000,Beegoesmart,Surabaya,4.9,14 ulasan
LIPSTICK ARAB  LIPSTIK ARAB  LIPSTIK HARE  LIPSTICK HARE,Rp 3.500,Luminary Store,Tangerang,4.9,8 ulasan
Lipstik Moodmatcher Split Stick 3 in 1,Rp 90.000,AUREL SHOP,Jakarta Barat,4.8,12 ulasan
Lipstik Purbasari Colour Matte No. 89 - Jade,Rp 29.000,lemonlime,Jakarta Barat,5,4 ulasan
Longlasting Lipstik,Rp 43.000,Nata cosmetics N FasHion,Kab. Bogor,5,1 ulasan
Lipstik FOCALLURE Matte - Lipstick Waterproof Tahan Lama & Anti Air,Rp 23.900,Harga Murah Pasti Untung,Jakarta Utara,4.4,12 ulasan
Kuas Lipstik Aiko Bening,Rp 2.800,FANCY,Bandung,4.8,8 ulasan
TERMURAH Lip Cream Wardah Exclusive Matte BARU Lipstik Lipstick,Rp 44.900,Star Seller Shop,Jakarta Pusat,4.6,9 ulasan
Lipstik intense matte wardah,Rp 43.000,Nata cosmetics N FasHion,Kab. Bogor,4.7,100 ulasan
lipstik kylie kkw,Rp 100.000,rfm_shop,Jakarta Timur,4.7,11 ulasan
Lipstik Hare Arab Original,Rp 5.000,SuciHand,Jakarta Timur,5,2 ulasan
LOOKE HOLY LIP CREAM IRENE - lipstik - lip merah,Rp 140.000,Affan Shop,Surabaya,4.8,4 ulasan
ElsheSkin Matte Lipstick Autumn - Lipstik Warna Nude Pink - Elshe Skin,Rp 49.000,VAMOS,Depok,4.8,4 ulasan
looke holy lip cream hebe - lipstik - lip merah,Rp 140.000,Affan Shop,Surabaya,4.2,8 ulasan
Novo lipstik the art mini kit isi 5,Rp 56.000,Galeri Cantik Indonesia,Kab. Tangerang,2,1 ulasan
YOU Real Me Lipstik - Vanesha Series BPOM Original,Rp 79.000,GudKos,Jakarta Utara,5,1 ulasan
THE PERFECT MATTE POWDER MATTES WARNA TOUCH OF NUDE LIPSTIK AWET ORIGINAL MAYBELLINE SAVSTORE,Rp 65.000,SAV Store,Semarang,4.8,39 ulasan
LIPSTIK SERAMBI BOTANI 2VARIAN CANTIK NATURAL,Rp 75.000,Bogor ID Store,Bogor,5,1 ulasan
Fran Wilson MoodMatcher Lipstick Pink Original - Lipstik Merah Muda,Rp 65.000,Ai Perfume,Jakarta Utara,4.8,4 ulasan
ElsheSkin Matte Lipstick Rossana - Lipstik Nude Peach - Elshe Skin,Rp 49.000,VAMOS,Depok,4.8,13 ulasan
LIPSTIK MATE MORESKIN NASA LC 07,Rp 75.000,NATURAL NUSANTARA NASA MALANG,Kab. Malang,4,1 ulasan
lipstik implora lip cream matte original,Rp 65.000,Sakanca Herbal,Kab. Bandung,5,1 ulasan
Lipstik Nasa LC07 Moreskin LipCream Merah Tua  Tahan Lama,Rp 75.000,IRMANDHA NASA,Jakarta Utara,5,2 ulasan
Fran Wilson MoodMatcher Lipstick Orange - Lipstik Merah Coral,Rp 65.000,Ai Perfume,Jakarta Utara,4.8,4 ulasan
Promo LIPSTIK MAYBELLINE THE PERFECT MATTE POWDER MATTES WARNA MAUVE IT UP,Rp 68.900,OT ACC,Semarang,5,3 ulasan
ElsheSkin x Tasya Farasya - Hope - Lipstick Nude Collection - Lipstik Lip Matte by Elshe Skin,Rp 89.000,VAMOS,Depok,4.7,3 ulasan
Tempat Lipstik Akrilik Lipstic Holder Acrylic Kualitas Pabrik,Rp 45.000,Tri8indo,Kab. Tangerang,5,1 ulasan
tanaman hias aglonema lipstik ukuran sedang - aglo lipstick,Rp 10.000,AT_store,Kab. Bogor,4.5,6 ulasan
LC01MN Moreskin LipCream Merah Maroon Lipstik Original Nasa Alami Aman,Rp 75.000,IRMANDHA NASA,Jakarta Utara,5,1 ulasan
ElsheSkin Matte Lipstick Adora - Lipstik Warna Merah - Elshe Skin,Rp 49.000,VAMOS,Depok,5,3 ulasan
PROMO BUNDLING HEMAT LIPSTIK DAN PENSIL ALIS BLACK HITAM IMPLORA,Rp 35.000,Nafiry Shop,Jakarta Barat,4.3,23 ulasan
Novo Lipstik gradient Two Tone Lipstik ombre Double color,Rp 29.000,Galeri Cantik Indonesia,Kab. Tangerang,4.7,6 ulasan
lipstick mini kit 3ce ORIGINAL KOREA mood recipe lip color lips make up set lipstik,Rp 31.000,Jaya Abadi,Demak,4.9,8 ulasan
Lipstik Arab Hare Isi 6 pcs,Rp 30.000,alhafidz,Jakarta Selatan,5,1 ulasan
Lipstik Jupon Pemerah Bibir,Rp 10.000,Toko Online Cikarang,Kab. Bekasi,4.7,15 ulasan
Penghapus Lipstik Karakter Anak Perempuan,Rp 2.100,Spinner Paling Murah,Jakarta Barat,5,3 ulasan
purbasari hi mate lip cream original lipstick lipstik,Rp 41.900,WaFara,Bekasi,4.8,12 ulasan
akrilik tempat lipstik 24 kotak / t24 (acrylic display lipstik),Rp 53.000,acrylicmurah,Tangerang,5,5 ulasan
LIPSTIK RED -A MURAH,Rp 12.500,Enggal Luwes,Solo,4.7,14 ulasan
LIPSTIK DOLBY 3000 NO 151,Rp 9.500,COSMET4SHOP,Kab. Bekasi,4.7,23 ulasan
LIPSTIK REVLON 3D MATTE isi 6pc,Rp 60.000,Linda Home Shopping,Jakarta Barat,4.6,13 ulasan
Lipstik Hare / Lipstik Arab Hijau,Rp 5.000,Toko Kurma Alif,Kab. Tangerang,5,3 ulasan
Lipstik Purbasari Color Matte,Rp 29.500,Lipstick Surabaya,Surabaya,4.7,10 ulasan
MAKE OVER MAKEOVER INTENSE MATTE LIP CREAM LIPSTICK LIPSTIK,Rp 85.000,Purple Beauty,Tangerang,4.7,38 ulasan
LIPSTIK MATTE LONGLASTING WARDAH,Rp 39.000,COSMET4SHOP,Kab. Bekasi,4.4,16 ulasan
LIPSTICK / LIPSTIK ETUDE PITA ( ECERAN ),Rp 11.900,REJEKI STORE,Surabaya,5,2 ulasan
LIPSTIK DOLBY 3000 MIX,Rp 8.500,ILAMA SHOP,Jakarta Barat,4.6,53 ulasan
NYX soft matte lip cream Original ,Rp 110.000,FIXE234,Jakarta Selatan,4.6,40 ulasan
MIRABELA LIPSTIK  MATTE  CHIC,Rp 12.500,mutiara serang,Serang,4.5,8 ulasan
Lipstik FOCALLURE Waterproof - Lipstick Mate,Rp 23.900,Bervin Market,Jakarta Utara,4.3,12 ulasan
lipstik matte purbasari grosir,Rp 27.000,Aida Olshop Semarang,Semarang,4.8,26 ulasan
Lipstik Wardah Exclusive Matte Lip Cream Original - Pemerah Bibir - Pelembab Bibir - Lipstick - Lipen,Rp 67.900,PUSAT,Jakarta Barat,5,4 ulasan
LIPSTIK PURBASARI MATTE,Rp 31.500,COSMET4SHOP,Kab. Bekasi,4.5,11 ulasan
Lipstic / lipstik / lipstick Hare Arab Original Asli Made in Taiwan R.O.C,Rp 3.600,Butik Mastura,Sidoarjo,4.7,55 ulasan
LIPSTIK MORESKIN ASLI NASA,Rp 75.000,TOKO HERBAL NASA GINTUNG,Kab. Tangerang,5,5 ulasan
Lipstik Giordani Gold Iconic Mate Spf 12 - ORIGINAL,Rp 183.800,Rayazthashop,Jakarta Barat,5,3 ulasan
ORIGINAL Viva Queen Perfect Matte Lip Color Lipstick Lipstik 2.5 Gr,Rp 26.000,Star Seller Shop,Jakarta Pusat,5,9 ulasan
Kalijumei Lipstik Flower Jelly,Rp 52.500,AZZAHRASHOP,Depok,4.5,20 ulasan
Lipstik Jupon-Jupon Pemerah Bibir Alami,Rp 7.500,deni ardian,Bandar Lampung,4.7,6 ulasan
Purbasari Lipstik Colour Matte,Rp 28.000,Agen Kosmetik,Jakarta Utara,4.6,23 ulasan
Purbasari Lipstick Color Matte - Lipstik Purbasari,Rp 28.500,Debelleza Shop,Jakarta Barat,4.6,10 ulasan
ElsheSkin Matte Lipstick Hailey - Lipstik Warna Pink Plum - Elshe Skin,Rp 49.000,VAMOS,Depok,3.5,2 ulasan
LOOKE HOLY LIP CREAM GAIA - lipstik - mempercantik bibir wanita,Rp 140.000,Affan Shop,Surabaya,4.8,23 ulasan
Fran Wilson MoodMatcher Split Stick Red Pink - Lipstik Merah Pink,Rp 90.000,Ai Perfume,Jakarta Utara,4.8,9 ulasan
LOOKE HOLY LIP CREAM LUNA - lisptik wanita - lipstik merah,Rp 140.000,Affan Shop,Surabaya,4.4,14 ulasan
Tanaman Hias Aglonema Lipstik Aglaonema Lipstick Siam Aurora Bibit,Rp 9.900,Flora Herba Nusantara Bekasi,Bekasi,4,4 ulasan
BIOAQUA Lipstik Mini - Bioaqua Charm Mini Lipstick Full Set 12 pcs,Rp 27.000,The Beauty Sister,Kab. Bogor,4.6,13 ulasan
Fran Wilson MoodMatcher Lipstick Pink - Lipstik Merah Muda,Rp 65.000,Ai Perfume,Jakarta Utara,5,1 ulasan
Fran Wilson MoodMatcher Lipstick Yellow - Lipstik Ungu Kuning,Rp 65.000,Ai Perfume,Jakarta Utara,5,1 ulasan
Fran Wilson MoodMatcher Split Stick Green Orange - Lipstik Hijau Coral,Rp 90.000,Ai Perfume,Jakarta Utara,1,1 ulasan
LOOKE HOLY LIP CREAM THALIA - lipstik bibir - lipstik merah,Rp 140.000,Affan Shop,Surabaya,4.2,17 ulasan
THE PERFECT MATTE POWDER MATTES WARNA TOASTED BROWN LIPSTIK AWET ORIGINAL MAYBELLINE SAVSTORE,Rp 65.000,SAV Store,Semarang,4.9,37 ulasan
Fran Wilson MoodMatcher Split Stick Magenta Gold - Lipstik Pink Emas,Rp 90.000,Ai Perfume,Jakarta Utara,4.5,2 ulasan
BIOAQUA MINI LIPSTICK ISI 12 PCS LIPSTIK BIOAQUA MAKE UP BIOAQUA KOSMETIK BIBIR,Rp 74.900,PUSAT,Jakarta Barat,4.6,28 ulasan
LIP ON LIP MATTE PEONY LIPSTIK WARNA PINK LUCU MOISTURISING LONG LASTING AWET OT ACC,Rp 40.500,OT ACC,Semarang,4.6,7 ulasan
lipstik moriskin cosmetics nasa terlaris,Rp 75.000,AGEN RESMI NASA,Kab. Pasuruan,5,1 ulasan
B Erl Cosmetics Beauty Lip Matte Cream Lip Matte Long Lasting Kosmetik Lipstik,Rp 110.000,MAY ROSE OLSHOP,Surabaya,5,16 ulasan
PROMO LIP ON LIP MATTE NUDE LIPSTIK WARNA PASTEL MOISTURISING LONG LASTING AWET LUCU SAVSTORE,Rp 47.800,SAV Store,Semarang,4.7,3 ulasan
LIP ON LIP MATTE WATER COLOUR SCARLET PEACH LIPSTIK LIPBALM WARNA SALEM PASTEL LUCU MOISTURISING OT STORE,Rp 36.000,Cover Dashboard OT Store,Semarang,4.3,6 ulasan
LIP ON LIP MATTE PINKISH LIPSTIK WARNA PINK LUCU MOISTURISING LONG LASTING AWET OT ACC,Rp 47.000,OT ACC,Semarang,4.5,4 ulasan
LIP ON LIP MATTE REDISH LIPSTIK WARNA MERAH OREN MOISTURISING LONG LASTING AWET SAVSTORE,Rp 47.800,SAV Store,Semarang,4,2 ulasan
(Best Seller)Lipstik Color Matte Purbasari No 89,Rp 35.000,leegalery,Kab. Bogor,5,3 ulasan
LIPSTIK - LIP STICK - LIPSTICK NYX CASING BLACK NO 801,Rp 6.500,need shop,Jakarta Timur,4.8,5 ulasan
Lipstik Hare Warna Warni,Rp 3.500,Dunia Muslim,Jakarta Selatan,4.6,10 ulasan
Lipstik Matte Purbasari,Rp 31.500,Shop Hello,Sidoarjo,4.8,8 ulasan
Lipstik Arab Hare L14 Magic Lipstick - Box,Rp 24.500,Gautama Indah Perkasa,Jakarta Utara,4.6,11 ulasan
Lipstik Maybelline Color Sensational Powder Matte Part 1,Rp 47.000,Lipstick Surabaya,Surabaya,4.6,7 ulasan
Paket Eyeliner dan Lipstik Arab,Rp 15.000,Rumah Kosmetik,Bogor,5,3 ulasan
Lipstik 3CE Mood Recipe Lip Color Mini Kit LIPSTICK SET Stylenanda Nude Brown Shade,Rp 21.900,bursa cosmetik murah,Tangerang,4.4,22 ulasan
BIOAQUA charm lipstick sample kit mini 12pcs paket lipstik,Rp 28.000,lolypoly,Kab. Bandung,4.5,30 ulasan
wardah intense matte lipstick lipstik,Rp 41.400,jesvin kosmetik,Cimahi,5,5 ulasan
Rak Kosmetik Tempat Lipstik Kutek Multifungsi Akrilik Grid 18 Murah,Rp 19.000,Malioboro,Yogyakarta,4.4,12 ulasan
SERUTAN DOUBLE ( RAUTAN PENSIL ALIS + LIPSTIK),Rp 2.900,FANCY,Bandung,4.6,31 ulasan
lipstik,Rp 300.000,Rizan,Jakarta Utara,5,2 ulasan
LIPSTICK ARAB HARE HIJAU IMPORT - Hare Lipstik,Rp 2.900,stecel_shop,Jakarta Barat,4.3,15 ulasan
lipstik purbasari matte,Rp 53.000,Chiara Shopcasion,Malang,5,3 ulasan
Purbasari Color mate lipstik 90,Rp 40.000,Tarshop,Bekasi,4.5,2 ulasan
Tas Kosmetik Serut Lucu Karakter Hello Kitty Doraemon Keropi Murah Multifungsi Pink Biru Lipstik Bedak Hand Body Souvenir Kado Ultah,Rp 2.300,PCD,Surabaya,4.7,13 ulasan
LIPSTIK JUPON,Rp 3.800,LARIS RAMBIGUNDAM,Jember,4.5,12 ulasan
Lipstik Hare / Lisptik Arab ORIGINAL (Halal),Rp 8.000,Rumah Kosmetik,Surabaya,5,1 ulasan
Rak Kosmetik Tempat Lipstik Kutek Multifungsi Akrilik Grid 30 Murah,Rp 39.000,Dunia Celengan,Bantul,5,6 ulasan
LIPSTIK JUST MISS SERUT,Rp 13.000,Purple Beauty,Tangerang,4.8,4 ulasan
Lipstick Lipstik Hare Original Made In Taiwan,Rp 5.000,TokoSurabaya,Surabaya,4.2,4 ulasan
Penghapus Pensil Model Bentuk Lipstick Lipstik Motif Karakter,Rp 2.300,Selvia EJO SHOP,Tangerang,5,2 ulasan
Wardah Exclusive Matte Lip Cream Original - Lipstick Mate - Lipstik,Rp 46.400,zansen shop Official Shop,Jakarta Utara,4.4,94 ulasan
MAKE OVER ULTRA HI-MATTE LIPSTIK,Rp 74.000,hindrakingshop,Serang,4.6,10 ulasan
Lipstik Purbasari Original / Lipstik Purbasari Matte / Lipstik Matte / Lipstik Purbasari / Lipstick,Rp 35.000,Rumah Kosmetik,Bogor,4.8,4 ulasan
Lipstik Wardah Intense Matte Lipstick,Rp 46.000,Lipstick Surabaya,Surabaya,5,4 ulasan
NOVO DOUBLE COLOR LIPSTICK Two Tone Lipstik Dua Warna,Rp 25.900,bursa cosmetik murah,Tangerang,4.1,18 ulasan
Lipstik Jupon,Rp 5.000,Irma Collection,Tangerang,4.5,14 ulasan
Matte lipstik,Rp 30.000,Nata cosmetics N FasHion,Kab. Bogor,4.4,5 ulasan
PROMO LIP ON LIP MATTE NUDE LIPSTIK WARNA PASTEL MOISTURISING LONG LASTING AWET LUCU SAVSTORE,Rp 47.800,SAV Store,Semarang,4.7,3 ulasan
LIP ON LIP MATTE WATER COLOUR SCARLET PEACH LIPSTIK LIPBALM WARNA SALEM PASTEL LUCU MOISTURISING OT STORE,Rp 36.000,Cover Dashboard OT Store,Semarang,4.3,6 ulasan
LIP ON LIP MATTE PINKISH LIPSTIK WARNA PINK LUCU MOISTURISING LONG LASTING AWET OT ACC,Rp 47.000,OT ACC,Semarang,4.5,4 ulasan
LIP ON LIP MATTE REDISH LIPSTIK WARNA MERAH OREN MOISTURISING LONG LASTING AWET SAVSTORE,Rp 47.800,SAV Store,Semarang,4,2 ulasan
Lipstik Looke Variasi Irene Thalia Luna Hebe Gaia Agen Resmi Nasa Jakarta,Rp 140.000,AGEN RESMI NASA JAKARTA,Jakarta Barat,5,2 ulasan
Lipstik Looke Nasa Hebe Gaia Thalia Irene Luna Stockist Nasa Jakarta Original,Rp 140.000,STOCKIST NASA JAKARTA ORIGINAL,Jakarta Barat,5,1 ulasan
Dijual Lipstik LC09CM Moreskin Lip Cream Coklat Muda Original Nasa Alami Aman Diskon,Rp 75.000,PRODUK NASA ORIGINAL,Jakarta Selatan,5,2 ulasan
Lipstik AYLA MATTEFYING CARE Aisha Kansa Sophia Zahra - Lipstik NASA Lipstik Batang Lipstik Awet Tahan Lama,Rp 150.000,ANISA YUDHA,Blora,5,1 ulasan
Produk Cream Obat Pemerah Bibir & Puting Payudara Pink Soft Herbal Pemerah Bibir Tanpa Lipstik & Merahkan Puting Susu Secara Alami Untuk Pria & Wanita,Rp 100.000,DIAN FARMA,Semarang,5,1 ulasan
LIP ON LIP MATTE WATER COLOUR IVORY ORANGE LIPSTIK LIPBALM WARNA OREN LUCU MOISTURISING LONG LASTING AWET OT STORE,Rp 36.000,Cover Dashboard OT Store,Semarang,4.3,9 ulasan
